   ritmo m serie,    ritmo a serie,    melodía serie, mel no sil serie,    armonía serie, arm no sil serie
9/8, 1/4, 30, 30, 2, 2
1/16, 1/4, 35, 35, 6, 6
1/16, 1/4, 31, 31, 9, 9
1/32, 1/4, 30, 30, 1, 1
1/32, 1/4, 28, 28, 2, 2
1/16, 1/4, 26, 26, 6, 6
1/16, 1/4, 25, 25, 9, 9
1/16, 1/4, 26, 26, 11, 11
1/4, 1/4, 25, 25, 14, 14
1/16, 1/4, 23, 23, 18, 18
3/16, 1/4, 21, 21, 9, 9
9/16, 1/4, 33, 33, 11, 11
1/16, 1/4, 30, 30, 14, 14
1/16, 1/4, 25, 25, 18, 18
1/16, 1/4, 23, 23, 7, 7
1/16, 1/4, 28, 28, 11, 11
1/16, 1/4, 27, 27, 14, 14
1/16, 1/4, 33, 33, 8, 8
1/16, 1/4, 31, 31, 11, 11
9/16, 1/4, 31, 31, 4, 4
1/16, 1/8, 28, 28, 9, 9
1/16, 1/8, 26, 26, 13, 13
1/16, 1/8, 25, 25, 16, 16
1/16, 1/8, 26, 26, 7, 7
1/16, 1/2, 25, 25, 9, 9
1/16, 1/8, 31, 31, 13, 13
1/16, 1/8, 30, 30, 16, 16
3/8, 1/8, 30, 30, 6, 6
1/16, 1/8, 32, 32, 9, 9
1/16, 1/2, 33, 33, 13, 13
1/8, 1/4, 26, 26, 16, 16
1/32, 1/4, 26, 26, 4, 4
1/32, 1/4, 28, 28, 9, 9
1/8, 1/4, 30, 30, 12, 12
1/16, 1/2, 28, 28, 16, 16
1/16, 1/4, 28, 28, 3, 3
1/16, 1/4, 26, 26, 11, 11
1/16, 1/4, 25, 25, 15, 15
1/16, 1/4, 23, 23, 18, 18
1/32, 1/2, 23, 23, 21, 21
1/32, 1/8, 25, 25, 11, 11
3/16, 1/8, 26, 26, 15, 15
1/16, 1/8, 25, 25, 18, 18
1/16, 1/8, 23, 23, 21, 21
1/2, 1/4, 21, 21, 4, 4
1/16, 1/4, 25, 25, 7, 7
1/16, 1/4, 23, 23, 11, 11
1/32, 1/4, 23, 23, 2, 2
1/32, 1/4, 25, 25, 4, 4
3/16, 1/4, 26, 26, 7, 7
1/16, 1/4, 25, 25, 11, 11
1/16, 1/4, 23, 23, 1, 1
1/2, 1/4, 21, 21, 9, 9
5/16, 1/4, 25, 25, 13, 13
1/32, 1/4, 26, 26, 16, 16
1/32, 1/4, 25, 25, 19, 19
1/32, 1/4, 23, 23, 9, 9
1/32, 1/4, 25, 25, 13, 13
1/16, 1/4, 21, 21, 16, 16
3/8, 1/4, 33, 33, 19, 19
1/8, 1/4, 25, 25, 2, 2
1/8, 1/4, 23, 23, 6, 6
3/16, 1/2, 35, 35, 9, 9
1/16, 1/4, 33, 33, 1, 1
1/16, 1/4, 31, 31, 2, 2
1/16, 1/4, 30, 30, 6, 6
1/16, 1/4, 30, 30, 9, 9
7/32, 1/4, 31, 31, 11, 11
1/32, 1/4, 30, 30, 14, 14
1/32, 1/4, 28, 28, 18, 18
1/32, 1/4, 26, 26, 21, 21
1/16, 1/4, 25, 25, 4, 4
1/16, 1/8, 23, 23, 8, 8
1/16, 1/8, 22, 22, 11, 11
1/16, 1/4, 23, 23, 9, 9
3/16, 1/4, 25, 25, 13, 13
1/16, 1/2, 26, 26, 16, 16
3/16, nan, 28, 28, 2, 2
1/16, nan, 30, 30, 6, 6
1/4, nan, 31, 31, 9, 9
1/8, nan, 30, 30, 4, 4
1/16, nan, 28, 28, 11, 11
1/16, nan, 26, 26, 4, 4
1/16, nan, 25, 25, 8, 8
1/16, nan, 23, 23, 11, 11
1/16, nan, 25, 25, 9, 9
1/32, nan, 26, 26, 13, 13
1/32, nan, 28, 28, 16, 16
1/8, nan, 26, 26, 9, 9
1/16, nan, 25, 25, 13, 13
7/16, nan, 23, 23, 16, 16
5/16, nan, 26, 26, 2, 2
1/16, nan, 30, 30, 6, 6
1/16, nan, 28, 28, 9, 9
1/16, nan, 26, 26, 4, 4
3/8, nan, 35, 35, 11, 11
1/16, nan, 33, 33, 4, 4
1/16, nan, 32, 32, 8, 8
1/32, nan, 30, 30, 11, 11
1/32, nan, 28, 28, 9, 9
1/16, nan, 33, 33, 13, 13
1/8, nan, 21, 21, 16, 16
3/16, nan, 23, 23, 9, 9
1/32, nan, 25, 25, 13, 13
1/32, nan, 26, 26, 16, 16
3/16, nan, 25, 25, 7, 7
1/16, nan, 23, 23, 9, 9
1/4, nan, 21, 21, 13, 13
3/8, nan, 26, 26, 16, 16
1/16, nan, 30, 30, 6, 6
1/16, nan, 28, 28, 9, 9
3/8, nan, 28, 28, 13, 13
1/16, nan, 31, 31, 16, 16
1/16, nan, 30, 30, 4, 4
3/8, nan, 30, 30, 9, 9
1/16, nan, 33, 33, 12, 12
1/16, nan, 31, 31, 16, 16
1/2, nan, 31, 31, 18, 18
5/16, nan, 21, 21, 3, 3
1/16, nan, 25, 25, 11, 11
1/16, nan, 28, 28, 15, 15
1/16, nan, 31, 31, 18, 18
1/16, nan, 31, 31, 4, 4
1/16, nan, 28, 28, 7, 7
1/4, nan, 30, 30, 11, 11
1/16, nan, 30, 30, 2, 2
1/32, nan, 31, 31, 4, 4
1/32, nan, 33, 33, 7, 7
5/16, nan, 26, 26, 11, 11
1/16, nan, 30, 30, 1, 1
1/16, nan, 33, 33, 4, 4
1/16, nan, 36, 36, 8, 8
1/16, nan, 36, 36, 11, 11
5/16, nan, 35, 35, 4, 4
1/8, nan, 26, 26, 7, 7
1/16, nan, 25, 25, 10, 10
1/16, nan, 28, 28, 13, 13
1/4, nan, 31, 31, 16, 16
1/8, nan, 23, 23, 6, 6
1/8, nan, 21, 21, 11, 11
1/16, nan, 28, 28, 14, 14
1/32, nan, 30, 30, 18, 18
3/32, nan, 31, 31, 7, 7
1/8, nan, 30, 30, 11, 11
1/16, nan, 28, 28, 14, 14
1/32, nan, 26, 26, 4, 4
1/32, nan, 25, 25, 7, 7
1/8, nan, 23, 23, 11, 11
1/16, nan, 25, 25, 6, 6
1/8, nan, 26, 26, 10, 10
1/16, nan, 25, 25, 14, 14
1/16, nan, 26, 26, 16, 16
1/2, nan, 26, 26, 11, 11
